日期,備轉容量(MW)
2021-01-01,2767
2021-01-02,2936
2021-01-03,3037
2021-01-04,3032
2021-01-05,3067
2021-01-06,3102
2021-01-07,3102
2021-01-08,3106
2021-01-09,3201
2021-01-10,2906
2021-01-11,3093
2021-01-12,3116
2021-01-13,3114
2021-01-14,3132
2021-01-15,3309
2021-01-16,3046
2021-01-17,3034
2021-01-18,3157
2021-01-19,3158
2021-01-20,3150
2021-01-21,3074
2021-01-22,3097
2021-01-23,3203
2021-01-24,3073
2021-01-25,3269
2021-01-26,3219
2021-01-27,3064
2021-01-28,3286
2021-01-29,3203
2021-01-30,3447
2021-01-31,2906
2021-02-01,2938
2021-02-02,3046
2021-02-03,3006
2021-02-04,3132
2021-02-05,3060
2021-02-06,3066
2021-02-07,2763
2021-02-08,3047
2021-02-09,2880
2021-02-10,2887
2021-02-11,2833
2021-02-12,2992
2021-02-13,3024
2021-02-14,2911
2021-02-15,2644
2021-02-16,3001
2021-02-17,2824
2021-02-18,2907
2021-02-19,2885
2021-02-20,2975
2021-02-21,3139
2021-02-22,2989
2021-02-23,3109
2021-02-24,3049
2021-02-25,3028
2021-02-26,3041
2021-02-27,2758
2021-02-28,2672
2021-03-01,2832
2021-03-02,3221
2021-03-03,3075
2021-03-04,3088
2021-03-05,3268
2021-03-06,2805
2021-03-07,2751
2021-03-08,3110
2021-03-09,3048
2021-03-10,3055
2021-03-11,3076
2021-03-12,3272
2021-03-13,3075
2021-03-14,2933
2021-03-15,3075
2021-03-16,3087
2021-03-17,3183
2021-03-18,3214
2021-03-19,3137
2021-03-20,2838
2021-03-21,3186
2021-03-22,3225
2021-03-23,3537
2021-03-24,3059
2021-03-25,3272
2021-03-26,3279
2021-03-27,3201
2021-03-28,2919
2021-03-29,3181
2021-03-30,3262
2021-03-31,3229
2021-04-01,3470
2021-04-02,3160
2021-04-03,3057
2021-04-04,2995
2021-04-05,2872
2021-04-06,3201
2021-04-07,3247
2021-04-08,3298
2021-04-09,3211
2021-04-10,2966
2021-04-11,2848
2021-04-12,3205
2021-04-13,3195
2021-04-14,3235
2021-04-15,3208
2021-04-16,3320
2021-04-17,2883
2021-04-18,2863
2021-04-19,3091
2021-04-20,3214
2021-04-21,3302
2021-04-22,3285
2021-04-23,3334
2021-04-24,2989
2021-04-25,2911
2021-04-26,3197
2021-04-27,3474
2021-04-28,3169
2021-04-29,3296
2021-04-30,3058
2021-05-01,2884
2021-05-02,2975
2021-05-03,3234
2021-05-04,3360
2021-05-05,3578
2021-05-06,3465
2021-05-07,3518
2021-05-08,3305
2021-05-09,2975
2021-05-10,3519
2021-05-11,3611
2021-05-12,3669
2021-05-13,3682
2021-05-14,3344
2021-05-15,3507
2021-05-16,3306
2021-05-17,1437
2021-05-18,3095
2021-05-19,2880
2021-05-20,2570
2021-05-21,2882
2021-05-22,3653
2021-05-23,2244
2021-05-24,2285
2021-05-25,2797
2021-05-26,2388
2021-05-27,2523
2021-05-28,2326
2021-05-29,4990
2021-05-30,3604
2021-05-31,4077
2021-06-01,3562
2021-06-02,3989
2021-06-03,3799
2021-06-04,3726
2021-06-05,3987
2021-06-06,4063
2021-06-07,4602
2021-06-08,3775
2021-06-09,3914
2021-06-10,3749
2021-06-11,2900
2021-06-12,3046
2021-06-13,2729
2021-06-14,3273
2021-06-15,3750
2021-06-16,3715
2021-06-17,3833
2021-06-18,3848
2021-06-19,4685
2021-06-20,4156
2021-06-21,3986
2021-06-22,3589
2021-06-23,3901
2021-06-24,4694
2021-06-25,5589
2021-06-26,4203
2021-06-27,4320
2021-06-28,5005
2021-06-29,5282
2021-06-30,5987
2021-07-01,6038
2021-07-02,4602
2021-07-03,4326
2021-07-04,4525
2021-07-05,2268
2021-07-06,3924
2021-07-07,3799
2021-07-08,3805
2021-07-09,3858
2021-07-10,3811
2021-07-11,3394
2021-07-12,3464
2021-07-13,2872
2021-07-14,3832
2021-07-15,4013
2021-07-16,4235
2021-07-17,4113
2021-07-18,4457
2021-07-19,3338
2021-07-20,4042
2021-07-21,5476
2021-07-22,5400
2021-07-23,5657
2021-07-24,4373
2021-07-25,3494
2021-07-26,4518
2021-07-27,3950
2021-07-28,3033
2021-07-29,3834
2021-07-30,3833
2021-07-31,5201
2021-08-01,5486
2021-08-02,4516
2021-08-03,5591
2021-08-04,4495
2021-08-05,4526
2021-08-06,4637
2021-08-07,3438
2021-08-08,4066
2021-08-09,4845
2021-08-10,4897
2021-08-11,5975
2021-08-12,5950
2021-08-13,5481
2021-08-14,5364
2021-08-15,3483
2021-08-16,4420
2021-08-17,4393
2021-08-18,4364
2021-08-19,4913
2021-08-20,5119
2021-08-21,4736
2021-08-22,3853
2021-08-23,4656
2021-08-24,3983
2021-08-25,3951
2021-08-26,4487
2021-08-27,4788
2021-08-28,5328
2021-08-29,4682
2021-08-30,3749
2021-08-31,4829
2021-09-01,3849
2021-09-02,4267
2021-09-03,3969
2021-09-04,5140
2021-09-05,4562
2021-09-06,3883
2021-09-07,3843
2021-09-08,3860
2021-09-09,3902
2021-09-10,3303
2021-09-11,3720
2021-09-12,4008
2021-09-13,3846
2021-09-14,3958
2021-09-15,3899
2021-09-16,4841
2021-09-17,4647
2021-09-18,4609
2021-09-19,3153
2021-09-20,6911
2021-09-21,6556
2021-09-22,3816
2021-09-23,3133
2021-09-24,4457
2021-09-25,5348
2021-09-26,3209
2021-09-27,4395
2021-09-28,5268
2021-09-29,4843
2021-09-30,5212
2021-10-01,3175
2021-10-02,5235
2021-10-03,3317
2021-10-04,3756
2021-10-05,2670
2021-10-06,2327
2021-10-07,1629
2021-10-08,1854
2021-10-09,5140
2021-10-10,3642
2021-10-11,2614
2021-10-12,2384
2021-10-13,2572
2021-10-14,2884
2021-10-15,2808
2021-10-16,5663
2021-10-17,6547
2021-10-18,5902
2021-10-19,5502
2021-10-20,5030
2021-10-21,6040
2021-10-22,3899
2021-10-23,4684
2021-10-24,5049
2021-10-25,4043
2021-10-26,3471
2021-10-27,3915
2021-10-28,6817
2021-10-29,5412
2021-10-30,3806
2021-10-31,4487
2021-11-01,3357
2021-11-02,2949
2021-11-03,4206
2021-11-04,3767
2021-11-05,2818
2021-11-06,5471
2021-11-07,2584
2021-11-08,5417
2021-11-09,3914
2021-11-10,3686
2021-11-11,3857
2021-11-12,4318
2021-11-13,5117
2021-11-14,4827
2021-11-15,3571
2021-11-16,3899
2021-11-17,3859
2021-11-18,3466
2021-11-19,5704
2021-11-20,4094
2021-11-21,4098
2021-11-22,6608
2021-11-23,4036
2021-11-24,3858
2021-11-25,3937
2021-11-26,4089
2021-11-27,3727
2021-11-28,3435
2021-11-29,2773
2021-11-30,4007
2021-12-01,4556
2021-12-02,3821
2021-12-03,4966
2021-12-04,4418
2021-12-05,3620
2021-12-06,3792
2021-12-07,2841
2021-12-08,4244
2021-12-09,3256
2021-12-10,3531
2021-12-11,3273
2021-12-12,4515
2021-12-13,4083
2021-12-14,3050
2021-12-15,2686
2021-12-16,2864
2021-12-17,6616
2021-12-18,4279
2021-12-19,3428
2021-12-20,2642
2021-12-21,2862
2021-12-22,3057
2021-12-23,2423
2021-12-24,3191
2021-12-25,3035
2021-12-26,3429
2021-12-27,3767
2021-12-28,3252
2021-12-29,2807
2021-12-30,4376
2021-12-31,3927
2022-01-01,3346
2022-01-02,3641
2022-01-03,3184
2022-01-04,2620
2022-01-05,2512
2022-01-06,3209
2022-01-07,3010
2022-01-08,3147
2022-01-09,3158
2022-01-10,2491
2022-01-11,2414
2022-01-12,2220
2022-01-13,2475
2022-01-14,2681
2022-01-15,2293
2022-01-16,3429
2022-01-17,2716
2022-01-18,2425
2022-01-19,3002
2022-01-20,2661
2022-01-21,2179
2022-01-22,3032
2022-01-23,2301
2022-01-24,3167
2022-01-25,2963
2022-01-26,2549
2022-01-27,3464
2022-01-28,4700
2022-01-29,3346
2022-01-30,3087
2022-01-31,3111
2022-02-01,4421
2022-02-02,3233
2022-02-03,3136
2022-02-04,3577
2022-02-05,2931
2022-02-06,3108
2022-02-07,2986
2022-02-08,3395
2022-02-09,2833
2022-02-10,2972
2022-02-11,3343
2022-02-12,2921
2022-02-13,3757
2022-02-14,2966
2022-02-15,2877
2022-02-16,3665
2022-02-17,3043
2022-02-18,3184
2022-02-19,2989
2022-02-20,2972
2022-02-21,2006
2022-02-22,2603
2022-02-23,2567
2022-02-24,2511
2022-02-25,3406
2022-02-26,3437
2022-02-27,3730
2022-02-28,4127
2022-03-01,2510
2022-03-02,3135
2022-03-03,7126
2022-03-04,3261
2022-03-05,4338
2022-03-06,4632
2022-03-07,2527
2022-03-08,3290
2022-03-09,2550
2022-03-10,3088
2022-03-11,3148
2022-03-12,3438
2022-03-13,2839
2022-03-14,2659
2022-03-15,2986
2022-03-16,2859
2022-03-17,2712
2022-03-18,4424
2022-03-19,2675
2022-03-20,3050
2022-03-21,2751
2022-03-22,3735
2022-03-23,3717
2022-03-24,2381
2022-03-25,3394
2022-03-26,3277
